title,link,sentiment
How can rollercoasters hold so much weight?Rollercoasters send our hearts racing and stomachs dropping. Hannah Fry dives into the science of how they work.Science,https://bbc.com/reel/video/p0mb832b/how-can-rollercoasters-hold-so-much-weight-,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Mum helps evacuate 22 schoolchildren from bus as it catches fireThe mum and the bus driver were recognised by parents and school leaders at East Bethel Elementary in Minnesota.US & Canada,https://bbc.com/news/videos/c7v8zp4zymno,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.3818}"
Bruce Springsteen watched Jeremy Allen White play him on setThe music icon reveals that he feels guilty he was on the set of Springsteen: Deliver Me from Nowhere.Film & TV,https://bbc.com/reel/video/p0m98jz2/bruce-springsteen-watched-jeremy-allen-white-play-him-on-set,"{'neg': 0.087, 'neu': 0.839, 'pos': 0.075, 'compound': -0.1027}"
Weather forecast as Storm Benjamin set to hit England and WalesThe Met Office has issued yellow severe weather warnings for both wind and rain.Science & Environment,https://bbc.com/news/videos/c2dr4kez85lo,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.5859}"
Is Trump allowed to demolish part of the White House to build a ballroom?Demolition work has begun on part of the White House to make way for President Trump's new ballroom.US & Canada,https://bbc.com/news/videos/cx2p045p1zpo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pen pals from Canada and Singapore meet for the first time after 43 yearsThe two women began exchanging letters in 1983 through a school project and finally met in Newfoundland this week.World,https://bbc.com/news/videos/c891yye223jo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Tyson hails Congolese roots on Rumble in the Jungle visitMike Tyson was a hit with boxing fans in Kinshasa after embracing his African roots as part of ongoing celebrations for the iconic Rumble in the Jungle.Africa Sport,https://bbc.com/sport/boxing/videos/c5yp9ve23zlo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
World of Business,https://www.bbc.com/business/world-of-business,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
How the outsourcing sector became South Africa's newest goldmineSouth African firms that do remote work for North American and European businesses growing strongly.See more,https://bbc.com/news/articles/cq50ze3ee7po,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.1779}"
How 'grey divorce' affects adult childrenDivorce in later life is becoming more common – and scientists are beginning to explore the surprisingly deep impact this can have on adult children and their relationships.,https://bbc.com/future/article/20250912-how-grey-divorce-affects-adult-children,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.34}"
"Is it a cold, flu or Covid – and how to avoid the worstA doctor shares his advice on how to identify if you have cold, flu or Covid, and how to look after yourself as the UK welcomes autumn.",https://bbc.com/news/articles/cly1rryv2ryo,"{'neg': 0.163, 'neu': 0.728, 'pos': 0.108, 'compound': -0.3612}"
"Destroying cancer with sound instead of surgeryUltrasound has long been used for helping doctors see inside the body, but focused high frequency sound waves are offering new ways of targeting cancer.",https://bbc.com/future/article/20251007-how-ultrasound-is-ushering-a-new-era-of-surgery-free-cancer-treatment,"{'neg': 0.264, 'neu': 0.618, 'pos': 0.119, 'compound': -0.7964}"
Travel,https://www.bbc.com/travel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"A multi-day kayak trip on Australia’s 'other' reefAlong Western Australia's remote coast, Ningaloo Reef offers a rare experience: a multi-day kayak trip into a world of extraordinary beauty and biodiversity.See more",https://bbc.com/travel/article/20251020-ningaloo-reef-a-multi-day-kayak-trip-on-australias-other-reef,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.5859}"
US & Canada news,https://www.bbc.com/news/us-canada,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Trump says 'existing structure' of White House East Wing to be torn downThe US president previously said that his $250m (£186m) ballroom addition would not ""interfere with the current building"".",https://bbc.com/news/articles/czxn7lwzx5po,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.25}"
US kills three in second strike on alleged drug boats in the Pacific,https://bbc.com/news/articles/c98n54ek04go,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.6124}"
TikTok creator and US marshal shot during LA immigration raid,https://bbc.com/news/articles/cjw9252d9vxo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
US axes website for reporting human rights abuses by US-armed foreign forces,https://bbc.com/news/articles/cqx30vnwd4do,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}"
More world news,https://www.bbc.com/news/world,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
What's at stake as Trump boat strikes strain US-Colombia allianceA major rift threatens to upend an alliance that has been targeting drug traffickers for years.,https://bbc.com/news/articles/c709w5v9dq9o,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.6486}"
Strong winds in New Zealand leave tens of thousands without power,https://bbc.com/news/articles/cwyp07kpgrvo,"{'neg': 0.089, 'neu': 0.667, 'pos': 0.244, 'compound': 0.4767}"
"An ex-first lady, a tycoon and a 'safe pair of hands' vie for power in Ivory Coast",https://bbc.com/news/articles/cx2de6wkd4qo,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
British man drowns in Australia after surfboard snaps in wild weather,https://bbc.com/news/articles/cm27xnvz2eyo,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}"
Business,https://www.bbc.com/business,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Tesla profits slide despite record revenueElon Musk's electric car maker reported record revenue as US buyers rushed to secure a key tax credit.,https://bbc.com/news/articles/cql9yqxllqdo,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.7845}"
"London Stock Exchange bouncing back, says metals magnate",https://bbc.com/news/articles/cq50z91z6q4o,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
What's the significance of US sanctions on Russian oil?,https://bbc.com/news/articles/c0qpne1pz3jo,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
Amazon unveils prototype AI smart glasses for its delivery drivers,https://bbc.com/news/articles/c0rpzrrgqvlo,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5267}"
Sport,https://www.bbc.com/sport,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
